Órgão,Subordinado a,Montante,Ano
HOSPITAL UNIVERSITARIO JOAO DE BARROS BARRETO,Ministério da Educação,8770,2011
HOSPITAL UNIVERSITARIO JOAO DE BARROS BARRETO,Ministério da Educação,56222,2012
HOSPITAL UNIVERSITARIO JOAO DE BARROS BARRETO,Ministério da Educação,6921,2013
HOSPITAL UNIVERSITARIO JOAO DE BARROS BARRETO,Ministério da Educação,5969,2014
HOSPITAL UNIVERSITARIO BETTINA FERRO DE SOUZA,Ministério da Educação,2862,2011
HOSPITAL UNIVERSITARIO BETTINA FERRO DE SOUZA,Ministério da Educação,7013,2014
I COMANDO AEREO REGIONAL,Ministério da Defesa,537,2011
I COMANDO AEREO REGIONAL,Ministério da Defesa,8594,2012
I COMANDO AEREO REGIONAL,Ministério da Defesa,10442,2013
HOSPITAL GERAL DE BELEM,Ministério da Defesa,815,2011
HOSPITAL GERAL DE BELEM,Ministério da Defesa,19148,2013
HOSPITAL NAVAL DE BELEM,Ministério da Defesa,636,2012
HOSPITAL NAVAL DE BELEM,Ministério da Defesa,1593,2012
HOSPITAL GERAL DE FORTALEZA,Ministério da Defesa,3578,2011
HOSPITAL GERAL DE BELEM,Ministério da Defesa,97771,2011
HOSPITAL GERAL DE BELEM,Ministério da Defesa,40126,2012
HOSPITAL GERAL DE BELEM,Ministério da Defesa,44014,2014
HOSPITAL DA GUARNICAO DE MARABA,Ministério da Defesa,4503,2011
HOSPITAL DA GUARNICAO DE MARABA,Ministério da Defesa,2068,2012
COMANDO DE FRONTEIRA - AMAPA E 34 BIS,Ministério da Defesa,2284,2011
