órgão,Subordinado a,Montante,Ano
UNIVERSIDADE FEDERAL RURAL DA AMAZONIA,Ministério da Educação,7174,2013
,Ministério da Educação,7174,
HOSPITAL UNIVERSITARIO JOAO DE BARROS BARRETO,Ministério da Educação,4137,2011
HOSPITAL UNIVERSITARIO JOAO DE BARROS BARRETO,Ministério da Educação,27628,2012
HOSPITAL UNIVERSITARIO JOAO DE BARROS BARRETO,Ministério da Educação,6905,2013
HOSPITAL UNIVERSITARIO JOAO DE BARROS BARRETO,Ministério da Educação,3164,2014
HOSPITAL UNIVERSITARIO JOAO DE BARROS BARRETO,Ministério da Educação,14265,2015
HOSPITAL UNIVERSITARIO JOAO DE BARROS BARRETO,Ministério da Educação,75576,2016
HOSPITAL UNIVERSITARIO JOAO DE BARROS BARRETO,Ministério da Educação,272753,2017
HOSPITAL UNIVERSITARIO BETTINA FERRO DE SOUZA,Ministério da Educação,85027,2013
HOSPITAL UNIVERSITARIO BETTINA FERRO DE SOUZA,Ministério da Educação,12859,2014
HOSPITAL UNIVERSITARIO BETTINA FERRO DE SOUZA,Ministério da Educação,11067,2015
HOSPITAL UNIVERSITARIO (HU/UFGD),Ministério da Educação,38932,2017
HOSPITAL UNIVERSITARIO,Ministério da Educação,14680,2015
HOSPITAL UNIVERSITARIO,Ministério da Educação,25416,2016
FUNDACAO NACIONAL DE SAUDE - PA,Ministério da Saúde,6058,2011
INSTITUTO EVANDRO CHAGAS,Ministério da Saúde,167,2011
INSTITUTO EVANDRO CHAGAS,Ministério da Saúde,8820,2012
INSTITUTO EVANDRO CHAGAS,Ministério da Saúde,20063,2015
INSTITUTO EVANDRO CHAGAS,Ministério da Saúde,2018,2016
CENTRO DE LANCAMENTO DE ALCANTARA,Ministério da Defesa,17716,2012
VII COMANDO AEREO REGIONAL,Ministério da Defesa,329,2016
I COMANDO AEREO REGIONAL,Ministério da Defesa,256309,2011
I COMANDO AEREO REGIONAL,Ministério da Defesa,281283,2012
I COMANDO AEREO REGIONAL,Ministério da Defesa,116102,2013
I COMANDO AEREO REGIONAL,Ministério da Defesa,14291,2014
I COMANDO AEREO REGIONAL,Ministério da Defesa,11761,2015
I COMANDO AEREO REGIONAL,Ministério da Defesa,110081,2016
COMISSAO DE AEROPORTOS DA REGIAO AMAZONICA,Ministério da Defesa,1957,2012
COMISSAO DE AEROPORTOS DA REGIAO AMAZONICA,Ministério da Defesa,7917,2013
COMISSAO DE AEROPORTOS DA REGIAO AMAZONICA,Ministério da Defesa,3512,2016
HOSPITAL MILITAR DE AREA DE MANAUS,Ministério da Defesa,20102,2015
HOSPITAL MILITAR DE AREA DE MANAUS,Ministério da Defesa,3382,2016
2 BATALHAO DE INFANTARIA DE SELVA,Ministério da Defesa,5101,2014
8. DEPOSITO DE SUPRIMENTO,Ministério da Defesa,4762,2014
HOSPITAL GERAL DE BELEM,Ministério da Defesa,11217,2013
HOSPITAL GERAL DE BELEM,Ministério da Defesa,16887,2014
HOSPITAL GERAL DE BELEM,Ministério da Defesa,34187,2015
HOSPITAL GERAL DE BELEM,Ministério da Defesa,15568,2016
HOSPITAL GERAL DE BELEM,Ministério da Defesa,21380,2017
HOSPITAL DA GUARNICAO DE MARABA,Ministério da Defesa,513,2013
HOSPITAL DA GUARNICAO DE MARABA,Ministério da Defesa,1796,2014
HOSPITAL DA GUARNICAO DE MARABA,Ministério da Defesa,4259,2015
HOSPITAL DA GUARNICAO DE MARABA,Ministério da Defesa,211,2016
1 GRUPO DE ARTILHARIA DE CAMPANHA DE SELVA,Ministério da Defesa,54,2015
HOSPITAL NAVAL DE BELEM,Ministério da Defesa,8800,2012
HOSPITAL NAVAL DE BELEM,Ministério da Defesa,30461,2013
HOSPITAL NAVAL DE BELEM,Ministério da Defesa,6679,2014
HOSPITAL NAVAL DE BELEM,Ministério da Defesa,7697,2015
HOSPITAL NAVAL DE BELEM,Ministério da Defesa,34576,2011
HOSPITAL NAVAL DE BELEM,Ministério da Defesa,132728,2012
HOSPITAL NAVAL DE BELEM,Ministério da Defesa,6112,2013
HOSPITAL NAVAL DE BELEM,Ministério da Defesa,12839,2014
HOSPITAL NAVAL DE BELEM,Ministério da Defesa,13339,2015
HOSPITAL NAVAL DE BELEM,Ministério da Defesa,12833,2016
HOSPITAL NAVAL DE BELEM,Ministério da Defesa,123031,2017
HOSPITAL GERAL DE BELEM,Ministério da Defesa,3904,2012
HOSPITAL GERAL DE BELEM,Ministério da Defesa,31902,2013
HOSPITAL GERAL DE BELEM,Ministério da Defesa,45150,2014
HOSPITAL GERAL DE BELEM,Ministério da Defesa,27115,2015
HOSPITAL GERAL DE BELEM,Ministério da Defesa,37511,2016
HOSPITAL GERAL DE BELEM,Ministério da Defesa,84183,2017
HOSPITAL DA GUARNICAO DE MARABA,Ministério da Defesa,1298,2012
HOSPITAL DA GUARNICAO DE MARABA,Ministério da Defesa,1493,2013
HOSPITAL DA GUARNICAO DE MARABA,Ministério da Defesa,7052,2015
CENTRO DE INTENDENCIA DA MARINHA EM BELEM,Ministério da Defesa,10783,2013
CENTRO DE INTENDENCIA DA MARINHA EM BELEM,Ministério da Defesa,1273,2014
CENTRO DE INTENDENCIA DA MARINHA EM BELEM,Ministério da Defesa,3895,2016
51 BATALHAO DE INFANTARIA DE SELVA,Ministério da Defesa,2745,2017
DISTRITO SANIT.ESP.INDIGENA GUAMA TOCANTINS,Ministério da Saúde,24571,2014
