órgão,Subordinado a,Montante,Ano
SECRETARIA DE ADMINISTRACAO/PR,Presidência da República,7451,2011
COMISSAO NACIONAL DE ENERGIA NUCLEAR-IPEN,Ministério da Ciência e Tecnologia,3476,2015
FCDF SSP   POLICIA CIVIL DO DF,"Transferências a Estados, Distrito Federal e Municípios",13230,2012
FCDF SSP   POLICIA CIVIL DO DF,"Transferências a Estados, Distrito Federal e Municípios",2262,2016
FCDF - CBMDF - ASSISTENCIA MEDICA,"Transferências a Estados, Distrito Federal e Municípios",4594,2013
FCDF - CBMDF - ASSISTENCIA MEDICA,"Transferências a Estados, Distrito Federal e Municípios",35203,2014
INSTITUTO BENJAMIN CONSTANT-RJ,Ministério da Educação,19790,2012
INSTITUTO BENJAMIN CONSTANT-RJ,Ministério da Educação,24075,2014
INSTITUTO BENJAMIN CONSTANT-RJ,Ministério da Educação,4836,2015
INSTITUTO BENJAMIN CONSTANT-RJ,Ministério da Educação,25529,2017
FUND. UNIVERSIDADE FEDERAL VALE SAO FRANCISCO,Ministério da Educação,37725,2011
FUND. UNIVERSIDADE FEDERAL VALE SAO FRANCISCO,Ministério da Educação,59,2012
FUND. UNIVERSIDADE FEDERAL VALE SAO FRANCISCO,Ministério da Educação,1224,2015
FUND. UNIVERSIDADE FEDERAL VALE SAO FRANCISCO,Ministério da Educação,1422,2016
FUND. UNIVERSIDADE FEDERAL VALE SAO FRANCISCO,Ministério da Educação,99169,2017
UNIVERSIDADE FEDERAL DE ALAGOAS,Ministério da Educação,7022,2014
MATERNIDADE CLIMERIO DE OLIVEIRA,Ministério da Educação,47889,2011
MATERNIDADE CLIMERIO DE OLIVEIRA,Ministério da Educação,77000,2012
MATERNIDADE CLIMERIO DE OLIVEIRA,Ministério da Educação,101594,2013
MATERNIDADE CLIMERIO DE OLIVEIRA,Ministério da Educação,64427,2014
MATERNIDADE CLIMERIO DE OLIVEIRA,Ministério da Educação,27075,2015
MATERNIDADE CLIMERIO DE OLIVEIRA,Ministério da Educação,84601,2016
MATERNIDADE CLIMERIO DE OLIVEIRA,Ministério da Educação,67816,2017
UNIVERSIDADE FEDERAL DA BAHIA,Ministério da Educação,928,2011
UNIVERSIDADE FEDERAL DA BAHIA,Ministério da Educação,4213,2015
UNIVERSIDADE FEDERAL DA BAHIA,Ministério da Educação,458,2016
HOSPITAL PROF. EDGARD SANTOS DA UFBA,Ministério da Educação,504530,2011
HOSPITAL PROF. EDGARD SANTOS DA UFBA,Ministério da Educação,411475,2012
HOSPITAL PROF. EDGARD SANTOS DA UFBA,Ministério da Educação,364393,2013
HOSPITAL PROF. EDGARD SANTOS DA UFBA,Ministério da Educação,261956,2014
HOSPITAL PROF. EDGARD SANTOS DA UFBA,Ministério da Educação,300142,2015
HOSPITAL PROF. EDGARD SANTOS DA UFBA,Ministério da Educação,368027,2016
HOSPITAL PROF. EDGARD SANTOS DA UFBA,Ministério da Educação,1175242,2017
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,Ministério da Educação,481940,2011
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,Ministério da Educação,402664,2012
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,Ministério da Educação,328517,2013
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,Ministério da Educação,348894,2014
