órgão,Subordinado a,Montante,Ano
EMBRAPA/CNPGC,"Ministério da Agricultura, Pecuária e Abastecimento",275084,2011
EMBRAPA/CNPGC,"Ministério da Agricultura, Pecuária e Abastecimento",43701,2012
HOSPITAL UNIVERSITARIO (HU/UFGD),Ministério da Educação,4725,2011
HOSPITAL UNIVERSITARIO (HU/UFGD),Ministério da Educação,4514,2013
HOSPITAL UNIVERSITARIO (HU/UFGD),Ministério da Educação,22596,2014
HOSPITAL UNIVERSITARIO JULIO MULLER DA FUFMT,Ministério da Educação,5486,2011
HOSPITAL UNIVERSITARIO JULIO MULLER DA FUFMT,Ministério da Educação,10669,2014
HOSPITAL UNIVERSITARIO MARIA AP. PEDROSSIAM,Ministério da Educação,7603,2011
HOSPITAL UNIVERSITARIO MARIA AP. PEDROSSIAM,Ministério da Educação,3188,2012
HOSPITAL UNIVERSITARIO MARIA AP. PEDROSSIAM,Ministério da Educação,4350,2013
FUNDACAO NACIONAL DE SAUDE - MT,Ministério da Saúde,1342,2011
HOSPITAL MILITAR DE AREA DE CAMPO GRANDE,Ministério da Defesa,5963,2011
HOSPITAL MILITAR DE AREA DE CAMPO GRANDE,Ministério da Defesa,139675,2012
HOSPITAL MILITAR DE AREA DE CAMPO GRANDE,Ministério da Defesa,5327,2013
HOSPITAL MILITAR DE AREA DE CAMPO GRANDE,Ministério da Defesa,1803,2014
HOSPITAL MILITAR DE AREA DE CAMPO GRANDE,Ministério da Defesa,1584,2012
