órgão,Subordinado a,Montante,Ano
HOSPITAL PROF. EDGARD SANTOS DA UFBA,Ministério da Educação,8212,2011
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,Ministério da Educação,5945,2011
HOSPITAL DAS CLINICAS DA UFGO,Ministério da Educação,3588,2011
PRO-REITORIA DE ADMINISTRACAO/UFF,Ministério da Educação,27489,2011
PRO-REITORIA DE ADMINISTRACAO/UFF,Ministério da Educação,7615,2012
HOSPITAL UNIVERSITARIO,Ministério da Educação,4068,2011
HOSPITAL UNIVERSITARIO,Ministério da Educação,502,2012
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,Ministério da Educação,7548,2012
INSTITUTO PUERIC. PED MAT. GESTEIRA DA UFRJ,Ministério da Educação,4761,2011
HOSPITAL UNIVERSITARIO DA UFRJ,Ministério da Educação,35657,2011
UNIVERSIDADE FEDERAL DE SANTA MARIA,Ministério da Educação,34201,2011
UNIVERSIDADE FEDERAL DE SANTA MARIA,Ministério da Educação,272,2012
UNIVERSIDADE FEDERAL DE SANTA MARIA - HUSM,Ministério da Educação,1546051,2011
UNIVERSIDADE FEDERAL DE SANTA MARIA - HUSM,Ministério da Educação,91993,2012
UNIVERSIDADE FEDERAL DE SANTA MARIA - HUSM,Ministério da Educação,166,2013
HOSPITAL UNIV. GAFFREE E GUINLE DA UNIRIO,Ministério da Educação,56813,2011
HOSPITAL UNIV. GAFFREE E GUINLE DA UNIRIO,Ministério da Educação,29609,2012
HOSPITAL UNIVERSITARIO DE BRASILIA - HUB,Ministério da Educação,127943,2011
HOSPITAL UNIVERSITARIO DE BRASILIA - HUB,Ministério da Educação,147921,2012
UNIVERSIDADE FEDERAL DO RIO GRANDE - FURG,Ministério da Educação,225942,2011
UNIVERSIDADE FEDERAL DO RIO GRANDE - FURG,Ministério da Educação,387315,2012
FUNDACAO UNIVERSIDADE FEDERAL DE PELOTAS,Ministério da Educação,21146,2011
FUND.UNIV.FED.DE.CIENC.DA SAUDE DE P.ALEGRE,Ministério da Educação,403,2012
HOSPITAL DE CLINICAS DE PORTO ALEGRE,Ministério da Educação,1973099,2011
HOSPITAL DE CLINICAS DE PORTO ALEGRE,Ministério da Educação,1866165,2012
HOSPITAL DE CLINICAS DE PORTO ALEGRE,Ministério da Educação,199857,2013
HOSPITAL DE CLINICAS DE PORTO ALEGRE,Ministério da Educação,54796,2014
HOSPITAL DE CLINICAS DE PORTO ALEGRE,Ministério da Educação,762,2015
HOSPITAL DE CLINICAS DE PORTO ALEGRE,Ministério da Educação,835,2016
HOSPITAL UNIVERSITARIO ANTONIO PEDRO DA UFF,Ministério da Educação,17220,2011
HOSPITAL UNIVERSITARIO ANTONIO PEDRO DA UFF,Ministério da Educação,2546,2012
HOSPITAL CLINICAS/UFMG,Ministério da Educação,1118,2011
HOSPITAL CLINICAS/UFMG,Ministério da Educação,8976,2012
HOSPITAL CLINICAS/UFMG,Ministério da Educação,183,2013
HOSPITAL DAS CLINICAS - UFPE,Ministério da Educação,1755,2011
HOSPITAL UNIVERSITARIO - UFSC,Ministério da Educação,10130,2011
HOSPITAL UNIVERSITARIO - UFSC,Ministério da Educação,5073,2012
HOSPITAL DE CLINICAS DA UFTM,Ministério da Educação,1992,2011
HOSPITAL ESCOLA DA UFPEL,Ministério da Educação,87874,2011
HOSPITAL ESCOLA DA UFPEL,Ministério da Educação,32741,2012
HOSPITAL ESCOLA DA UFPEL,Ministério da Educação,821,2013
HOSPITAL ESCOLA DA UFPEL,Ministério da Educação,56538,2014
FUNDACAO OSWALDO CRUZ,Ministério da Saúde,3683661,2011
FUNDACAO OSWALDO CRUZ,Ministério da Saúde,721586,2012
INSTITUTO DE TECNOLOGIA EM FARMACOS,Ministério da Saúde,154206,2011
INSTITUTO FERNANDES FIGUEIRA,Ministério da Saúde,32366,2011
INSTITUTO FERNANDES FIGUEIRA,Ministério da Saúde,9280,2012
INSTITUTO FERNANDES FIGUEIRA,Ministério da Saúde,3458,2014
INSTITUTO OSWALDO CRUZ,Ministério da Saúde,84352,2011
HOSPITAL CRISTO REDENTOR S/A,Ministério da Saúde,1071515,2011
HOSPITAL CRISTO REDENTOR S/A,Ministério da Saúde,100834,2012
HOSPITAL FEMINA S/A,Ministério da Saúde,645763,2011
HOSPITAL FEMINA S/A,Ministério da Saúde,62643,2012
HOSPITAL NOSSA SENHORA DA CONCEICAO S/A,Ministério da Saúde,4230153,2011
HOSPITAL NOSSA SENHORA DA CONCEICAO S/A,Ministério da Saúde,437340,2012
HOSPITAL NOSSA SENHORA DA CONCEICAO S/A,Ministério da Saúde,150565,2013
HOSPITAL NOSSA SENHORA DA CONCEICAO S/A,Ministério da Saúde,59694,2014
FUNDACAO NACIONAL DE SAUDE - DF,Ministério da Saúde,457130,2011
FUNDACAO NACIONAL DE SAUDE - DF,Ministério da Saúde,127,2012
HOSPITAL FEDERAL DE BONSUCESSO,Ministério da Saúde,6389,2011
INST. NACIONAL DE TRAUMATOLOGIA E ORTOPEDIA,Ministério da Saúde,11809,2011
INST. NACIONAL DE TRAUMATOLOGIA E ORTOPEDIA,Ministério da Saúde,11447,2012
HOSPITAL FEDERAL DOS SERVIDORES DO ESTADO,Ministério da Saúde,15295,2011
V COMANDO AEREO REGIONAL,Ministério da Defesa,82155,2011
V COMANDO AEREO REGIONAL,Ministério da Defesa,4528,2012
BASE AEREA DE SANTA MARIA,Ministério da Defesa,8197,2011
BASE AEREA DE SANTA MARIA,Ministério da Defesa,238,2014
5. BATALHAO DE SUPRIMENTO,Ministério da Defesa,1634,2011
POLICLINICA MILITAR DE NITEROI,Ministério da Defesa,1272,2011
3 REGIMENTO DE CAVALARIA MECANIZADO,Ministério da Defesa,1303,2011
HOSPITAL DE GUARNICAO DE BAGE,Ministério da Defesa,1491,2011
3 BATALHAO DE SUPRIMENTO,Ministério da Defesa,164,2011
3 REGIMENTO DE CAVALARIA DE GUARDA,Ministério da Defesa,710,2012
CENTRO DE PREPARACAO OFICIAIS RESERVA/PA,Ministério da Defesa,297,2012
HOSPITAL MILITAR DE AREA DE PORTO ALEGRE,Ministério da Defesa,426,2011
5 REGIMENTO DE CAVALARIA MECANIZADO,Ministério da Defesa,330,2012
HOSPITAL DE GUARNICAO DE SANTA MARIA,Ministério da Defesa,7111,2012
HOSPITAL DE GUARNICAO DE SANTIAGO,Ministério da Defesa,541,2011
HOSPITAL DE GUARNICAO DE SANTIAGO,Ministério da Defesa,932,2013
3 COMPANHIA DE ENGENHARIA DE COMB. MECANIZADO,Ministério da Defesa,114,2014
CENTRO DE OBTENCAO DA MARINHA NO R.J.,Ministério da Defesa,59677,2011
CENTRO DE OBTENCAO DA MARINHA NO R.J.,Ministério da Defesa,1004,2012
HOSPITAL DAS FORCAS ARMADAS,Ministério da Defesa,30284,2011
HOSPITAL DAS FORCAS ARMADAS,Ministério da Defesa,30220,2012
8 ESQUADRAO DE CAVALARIA MECANIZADO,Ministério da Defesa,3597,2011
DIRETORIA DE SAUDE DA MARINHA,Ministério da Defesa,178315,2011
DIRETORIA DE SAUDE DA MARINHA,Ministério da Defesa,6797,2012
HOSPITAL NAVAL MARCILIO DIAS,Ministério da Defesa,91216,2011
LABORATORIO FARMACEUTICO DA MARINHA,Ministério da Defesa,76802,2011
CENTRO DE OBTENCAO DA MARINHA NO R.J.,Ministério da Defesa,603528,2011
CENTRO DE OBTENCAO DA MARINHA NO R.J.,Ministério da Defesa,142044,2012
CENTRO DE INTENDENCIA DA MARINHA EM RIO GRAND,Ministério da Defesa,49268,2011
CENTRO DE INTENDENCIA DA MARINHA EM RIO GRAND,Ministério da Defesa,3843,2012
CENTRO DE INTENDENCIA DA MARINHA EM RIO GRAND,Ministério da Defesa,374,2014
HOSPITAL DA GUARNICAO DE ALEGRETE,Ministério da Defesa,5056,2011
HOSPITAL DE GUARNICAO DE BAGE,Ministério da Defesa,6771,2011
COMANDO DE ARTILHARIA DIVISIONARIA/3,Ministério da Defesa,3286,2011
ARSENAL DE GUERRA GENERAL CAMARA,Ministério da Defesa,1188,2011
ARSENAL DE GUERRA GENERAL CAMARA,Ministério da Defesa,1398,2012
3 BATALHAO DE POLICIA DO EXERCITO,Ministério da Defesa,1625,2011
POLICLINICA MILITAR DE PORTO ALEGRE,Ministério da Defesa,24798,2011
POLICLINICA MILITAR DE PORTO ALEGRE,Ministério da Defesa,1363,2012
POLICLINICA MILITAR DE PORTO ALEGRE,Ministério da Defesa,326,2014
5 REGIMENTO DE CAVALARIA MECANIZADO,Ministério da Defesa,3576,2011
HOSPITAL DE GUARNICAO DE SANTA MARIA,Ministério da Defesa,142795,2011
HOSPITAL DE GUARNICAO DE SANTIAGO,Ministério da Defesa,34280,2011
HOSPITAL DE GUARNICAO DE SANTIAGO,Ministério da Defesa,1846,2014
4 REGIMENTO DE CAVALARIA BLINDADO,Ministério da Defesa,1061,2011
COMANDO 2 BRIGADA DE CAVALARIA MECANIZADA,Ministério da Defesa,1063,2011
COMANDO 2 BRIGADA DE CAVALARIA MECANIZADA,Ministério da Defesa,2159,2012
HOSPITAL DE GUARNICAO DE FLORIANOPOLIS,Ministério da Defesa,3745,2011
HOSPITAL DE GUARNICAO DE FLORIANOPOLIS,Ministério da Defesa,6148,2012
CENTRO DE OBTENCAO DA MARINHA NO R.J.,Ministério da Defesa,757052,2011
3 BATALHAO DE SUPRIMENTO,Ministério da Defesa,25,2011
12 REGIMENTO DE CAVALARIA MECANIZADO,Ministério da Defesa,1062,2011
3 REGIMENTO DE CAVALARIA DE GUARDA,Ministério da Defesa,1257,2011
HOSPITAL MILITAR DE AREA DE PORTO ALEGRE,Ministério da Defesa,122660,2011
3 GRUPO DE ARTILHARIA DE CAMPANHA/AP,Ministério da Defesa,194,2011
