órgão,Subordinado a,Montante,Ano
FUND. UNIVERSIDADE FEDERAL VALE SAO FRANCISCO,Ministério da Educação,5613,2013
FUND. UNIVERSIDADE FEDERAL VALE SAO FRANCISCO,Ministério da Educação,9437,2014
FUND. UNIVERSIDADE FEDERAL VALE SAO FRANCISCO,Ministério da Educação,10253,2015
FUND. UNIVERSIDADE FEDERAL VALE SAO FRANCISCO,Ministério da Educação,2249,2016
FUND. UNIVERSIDADE FEDERAL VALE SAO FRANCISCO,Ministério da Educação,12353,2017
MATERNIDADE CLIMERIO DE OLIVEIRA,Ministério da Educação,2168,2016
HOSPITAL PROF. EDGARD SANTOS DA UFBA,Ministério da Educação,1871,2011
HOSPITAL PROF. EDGARD SANTOS DA UFBA,Ministério da Educação,12783,2012
HOSPITAL PROF. EDGARD SANTOS DA UFBA,Ministério da Educação,23667,2013
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,Ministério da Educação,1914,2011
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,Ministério da Educação,1728,2014
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,Ministério da Educação,407,2015
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,Ministério da Educação,65694,2016
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,Ministério da Educação,387457,2017
MATERNIDADE ESCOLA ASSIS CHATEAUBRIAND,Ministério da Educação,864,2014
MATERNIDADE ESCOLA ASSIS CHATEAUBRIAND,Ministério da Educação,4181,2016
MATERNIDADE ESCOLA ASSIS CHATEAUBRIAND,Ministério da Educação,349762,2017
HOSPITAL DAS CLINICAS DA UFGO,Ministério da Educação,23,2011
HOSPITAL DAS CLINICAS DA UFGO,Ministério da Educação,10203,2012
PRO-REITORIA DE ADMINISTRACAO/UFF,Ministério da Educação,6593,2012
PRO-REITORIA DE ADMINISTRACAO/UFF,Ministério da Educação,3569,2013
PRO-REITORIA DE GRADUAÇÃO/UFF,Ministério da Educação,4674,2013
HOSPITAL UNIVERSITARIO,Ministério da Educação,4771,2012
HOSPITAL UNIVERSITARIO,Ministério da Educação,3163,2013
HOSPITAL UNIVERSITARIO,Ministério da Educação,5942,2016
HOSPITAL UNIVERSITARIO LAURO WANDERLEY-UFPB,Ministério da Educação,25603,2012
