órgão,Subordinado a,Montante,Ano
COORDENACAO DE EXECUCAO ORC. E FINANCEIRA,"Ministério do Planejamento, Orçamento e Gestão",972,2012
INST.BRAS.DE INFORM. EM CIENCIA E TECNOLOGIA,Ministério da Ciência e Tecnologia,2259,2013
FCDF SSP   POLICIA CIVIL DO DF,"Transferências a Estados, Distrito Federal e Municípios",224,2013
UNIVERSIDADE FEDERAL DE ALAGOAS,Ministério da Educação,1203,2012
MATERNIDADE CLIMERIO DE OLIVEIRA,Ministério da Educação,666,2011
MATERNIDADE CLIMERIO DE OLIVEIRA,Ministério da Educação,10395,2012
MATERNIDADE CLIMERIO DE OLIVEIRA,Ministério da Educação,12385,2013
HOSPITAL PROF. EDGARD SANTOS DA UFBA,Ministério da Educação,193064,2011
HOSPITAL PROF. EDGARD SANTOS DA UFBA,Ministério da Educação,5127,2012
HOSPITAL PROF. EDGARD SANTOS DA UFBA,Ministério da Educação,6538,2014
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,Ministério da Educação,24729,2011
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,Ministério da Educação,18051,2012
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,Ministério da Educação,3601,2013
UNIVERSIDADE FEDERAL DE GOIAS,Ministério da Educação,4353,2013
HOSPITAL DAS CLINICAS DA UFGO,Ministério da Educação,270433,2011
HOSPITAL DAS CLINICAS DA UFGO,Ministério da Educação,437270,2012
HOSPITAL DAS CLINICAS DA UFGO,Ministério da Educação,673097,2013
HOSPITAL DAS CLINICAS DA UFGO,Ministério da Educação,334944,2014
HOSPITAL DAS CLINICAS DA UFGO,Ministério da Educação,355120,2015
HOSPITAL DAS CLINICAS DA UFGO,Ministério da Educação,249194,2016
HOSPITAL DAS CLINICAS DA UFGO,Ministério da Educação,2202633,2017
HOSPITAL UNIVERSITARIO,Ministério da Educação,533,2013
HOSPITAL UNIVERSITARIO LAURO WANDERLEY-UFPB,Ministério da Educação,85890,2011
HOSPITAL UNIVERSITARIO LAURO WANDERLEY-UFPB,Ministério da Educação,28611,2012
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,Ministério da Educação,33,2011
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,Ministério da Educação,792,2014
HOSPITAL UNIVERSITARIO ANA BEZERRA,Ministério da Educação,14497,2013
HOSPITAL UNIVERSITARIO ANA BEZERRA,Ministério da Educação,6846,2014
HOSPITAL UNIVERSITARIO ONOFRE LOPES DA UFRN,Ministério da Educação,41564,2011
HOSPITAL UNIVERSITARIO ONOFRE LOPES DA UFRN,Ministério da Educação,710,2012
HOSPITAL UNIVERSITARIO ONOFRE LOPES DA UFRN,Ministério da Educação,27161,2013
HOSPITAL UNIVERSITARIO ONOFRE LOPES DA UFRN,Ministério da Educação,61226,2014
MATERNIDADE ESCOLA JANUARIO CICCO DA UFRN,Ministério da Educação,483,2013
MATERNIDADE ESCOLA JANUARIO CICCO DA UFRN,Ministério da Educação,832,2014
HOSP.PEDIATRIA PROF. HERIBERTO F. BEZERRA,Ministério da Educação,1600,2011
HOSP.PEDIATRIA PROF. HERIBERTO F. BEZERRA,Ministério da Educação,442,2013
INSTITUTO PUERIC. PED MAT. GESTEIRA DA UFRJ,Ministério da Educação,7071,2012
INSTITUTO PUERIC. PED MAT. GESTEIRA DA UFRJ,Ministério da Educação,3196,2013
INSTITUTO PUERIC. PED MAT. GESTEIRA DA UFRJ,Ministério da Educação,3288,2014
HOSPITAL UNIVERSITARIO DA UFRJ,Ministério da Educação,140272,2011
HOSPITAL UNIVERSITARIO DA UFRJ,Ministério da Educação,96216,2017
MATERNIDADE ESCOLA DA UFRJ,Ministério da Educação,29847,2011
MATERNIDADE ESCOLA DA UFRJ,Ministério da Educação,45863,2012
MATERNIDADE ESCOLA DA UFRJ,Ministério da Educação,48484,2013
MATERNIDADE ESCOLA DA UFRJ,Ministério da Educação,21353,2014
MATERNIDADE ESCOLA DA UFRJ,Ministério da Educação,44254,2015
MATERNIDADE ESCOLA DA UFRJ,Ministério da Educação,2743,2016
UNIVERSIDADE FEDERAL DE SANTA MARIA - HUSM,Ministério da Educação,71422,2012
UTFPR- CAMPUS FRANCISCO BELTRAO,Ministério da Educação,603,2012
HOSPITAL UNIV. GAFFREE E GUINLE DA UNIRIO,Ministério da Educação,54086,2011
HOSPITAL UNIV. GAFFREE E GUINLE DA UNIRIO,Ministério da Educação,1383,2012
HOSPITAL UNIV. GAFFREE E GUINLE DA UNIRIO,Ministério da Educação,5549,2013
HOSPITAL UNIV. GAFFREE E GUINLE DA UNIRIO,Ministério da Educação,43056,2014
HOSPITAL UNIV. GAFFREE E GUINLE DA UNIRIO,Ministério da Educação,16868,2015
HOSPITAL UNIVERSITARIO DE BRASILIA - HUB,Ministério da Educação,342176,2011
HOSPITAL UNIVERSITARIO DE BRASILIA - HUB,Ministério da Educação,410405,2012
HOSPITAL UNIVERSITARIO DE BRASILIA - HUB,Ministério da Educação,318960,2013
HOSPITAL UNIVERSITARIO DE BRASILIA - HUB,Ministério da Educação,517268,2014
HOSPITAL UNIVERSITARIO DE BRASILIA - HUB,Ministério da Educação,389047,2015
HOSPITAL UNIVERSITARIO DE BRASILIA - HUB,Ministério da Educação,467969,2016
HOSPITAL UNIVERSITARIO DE BRASILIA - HUB,Ministério da Educação,27465,2017
FUNDACAO UNIVERSIDADE DO MARANHAO,Ministério da Educação,283,2012
UNIVERSIDADE FEDERAL DO RIO GRANDE - FURG,Ministério da Educação,8050,2011
UNIVERSIDADE FEDERAL DO RIO GRANDE - FURG,Ministério da Educação,11456,2012
HOSPITAL DE CLINICAS DA UFU,Ministério da Educação,13424,2011
FUNDACAO UNIVERSIDADE FEDERAL DE UBERLANDIA,Ministério da Educação,5267,2013
FUNDACAO UNIVERSIDADE FEDERAL DE MATO GROSSO,Ministério da Educação,2355,2014
FUNDACAO UNIVERSIDADE FEDERAL DE MATO GROSSO,Ministério da Educação,1080,2015
HOSPITAL DE CLINICAS DE PORTO ALEGRE,Ministério da Educação,318744,2011
HOSPITAL DE CLINICAS DE PORTO ALEGRE,Ministério da Educação,1779,2012
HOSPITAL DE CLINICAS DE PORTO ALEGRE,Ministério da Educação,47479,2013
HOSPITAL UNIVERSITARIO PROF ALBERTO ANTUNES,Ministério da Educação,1516,2011
HOSPITAL UNIVERSITARIO PROF ALBERTO ANTUNES,Ministério da Educação,3737,2013
HOSPITAL UNIVERSITARIO PROF ALBERTO ANTUNES,Ministério da Educação,20208,2014
HOSPITAL UNIVERSITARIO PROF ALBERTO ANTUNES,Ministério da Educação,4835,2015
HOSPITAL UNIVERSITARIO C. ANTONIO MORAIS/UFES,Ministério da Educação,1342,2011
HOSPITAL UNIVERSITARIO C. ANTONIO MORAIS/UFES,Ministério da Educação,74646,2012
HOSPITAL UNIVERSITARIO C. ANTONIO MORAIS/UFES,Ministério da Educação,58261,2013
HOSPITAL UNIVERSITARIO C. ANTONIO MORAIS/UFES,Ministério da Educação,31310,2014
HOSPITAL UNIVERSITARIO C. ANTONIO MORAIS/UFES,Ministério da Educação,8028,2016
HOSPITAL UNIVERSITARIO C. ANTONIO MORAIS/UFES,Ministério da Educação,31044,2017
HOSPITAL UNIVERSITARIO ANTONIO PEDRO DA UFF,Ministério da Educação,68554,2011
HOSPITAL UNIVERSITARIO ANTONIO PEDRO DA UFF,Ministério da Educação,74420,2012
HOSPITAL UNIVERSITARIO ANTONIO PEDRO DA UFF,Ministério da Educação,10653,2013
HOSPITAL UNIVERSITARIO ANTONIO PEDRO DA UFF,Ministério da Educação,6262,2014
HOSPITAL CLINICAS/UFMG,Ministério da Educação,9604,2011
HOSPITAL CLINICAS/UFMG,Ministério da Educação,11044,2012
HOSPITAL UNIVERSITARIO JOAO DE BARROS BARRETO,Ministério da Educação,11894,2011
HOSPITAL UNIVERSITARIO JOAO DE BARROS BARRETO,Ministério da Educação,5240,2012
HOSPITAL UNIVERSITARIO JOAO DE BARROS BARRETO,Ministério da Educação,6432,2013
HOSPITAL UNIVERSITARIO JOAO DE BARROS BARRETO,Ministério da Educação,61368,2014
HOSPITAL DE CLINICAS DA UFPR,Ministério da Educação,350996,2011
HOSPITAL DE CLINICAS DA UFPR,Ministério da Educação,1553,2012
HOSPITAL DE CLINICAS DA UFPR,Ministério da Educação,1462,2013
