Órgão,Subordinado a,Montante,Ano
HOSPITAL PROF. EDGARD SANTOS DA UFBA,Ministério da Educação,11762,2011
HOSPITAL PROF. EDGARD SANTOS DA UFBA,Ministério da Educação,2928,2012
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,Ministério da Educação,6531,2011
HOSPITAL DAS CLINICAS DA UFGO,Ministério da Educação,21906,2011
INSTITUTO PUERIC. PED MAT. GESTEIRA DA UFRJ,Ministério da Educação,9754,2011
INSTITUTO PUERIC. PED MAT. GESTEIRA DA UFRJ,Ministério da Educação,240,2013
INSTITUTO PUERIC. PED MAT. GESTEIRA DA UFRJ,Ministério da Educação,1132,2016
UNIVERSIDADE FEDERAL DE SANTA MARIA - HUSM,Ministério da Educação,256427,2011
UNIVERSIDADE FEDERAL DE SANTA MARIA - HUSM,Ministério da Educação,69034,2013
UNIVERSIDADE FEDERAL DE SANTA MARIA - HUSM,Ministério da Educação,12023,2014
HOSPITAL UNIVERSITARIO DE BRASILIA - HUB,Ministério da Educação,10863,2011
HOSPITAL UNIVERSITARIO DE BRASILIA - HUB,Ministério da Educação,39950,2013
UNIVERSIDADE FEDERAL DO RIO GRANDE - FURG,Ministério da Educação,9965,2011
HOSPITAL DE CLINICAS DA UFU,Ministério da Educação,2469,2011
HOSPITAL DE CLINICAS DE PORTO ALEGRE,Ministério da Educação,58937,2017
HOSPITAL UNIVERSITARIO C. ANTONIO MORAIS/UFES,Ministério da Educação,19871,2011
HOSPITAL UNIVERSITARIO C. ANTONIO MORAIS/UFES,Ministério da Educação,18324,2017
HOSPITAL UNIVERSITARIO ANTONIO PEDRO DA UFF,Ministério da Educação,15202,2011
HOSPITAL UNIVERSITARIO ANTONIO PEDRO DA UFF,Ministério da Educação,1901,2016
HOSPITAL UNIVERSITARIO ANTONIO PEDRO DA UFF,Ministério da Educação,39244,2017
HOSPITAL CLINICAS/UFMG,Ministério da Educação,5667,2015
HOSPITAL CLINICAS/UFMG,Ministério da Educação,8398,2016
HOSPITAL UNIVERSITARIO JOAO DE BARROS BARRETO,Ministério da Educação,36762,2017
HOSPITAL DE CLINICAS DA UFPR,Ministério da Educação,6789,2012
HOSPITAL DE CLINICAS DA UFPR,Ministério da Educação,18537,2013
HOSPITAL UNIVERSITARIO (HU/UFGD),Ministério da Educação,46644,2011
HOSPITAL UNIVERSITARIO (HU/UFGD),Ministério da Educação,10201,2017
HOSPITAL UNIVERSITARIO JULIO MULLER DA FUFMT,Ministério da Educação,16696,2011
HOSPITAL UNIVERSITARIO MARIA AP. PEDROSSIAM,Ministério da Educação,33282,2011
FUNDACAO OSWALDO CRUZ,Ministério da Saúde,79112,2011
INSTITUTO FERNANDES FIGUEIRA,Ministério da Saúde,9675,2011
HOSPITAL CRISTO REDENTOR S/A,Ministério da Saúde,198338,2011
HOSPITAL CRISTO REDENTOR S/A,Ministério da Saúde,990,2012
HOSPITAL FEMINA S/A,Ministério da Saúde,59408,2011
HOSPITAL FEMINA S/A,Ministério da Saúde,235,2012
HOSPITAL NOSSA SENHORA DA CONCEICAO S/A,Ministério da Saúde,779398,2011
HOSPITAL NOSSA SENHORA DA CONCEICAO S/A,Ministério da Saúde,3758,2012
HOSPITAL NOSSA SENHORA DA CONCEICAO S/A,Ministério da Saúde,27200,2013
FUNDACAO NACIONAL DE SAUDE - DF,Ministério da Saúde,679536,2011
FUNDACAO NACIONAL DE SAUDE - DF,Ministério da Saúde,21697,2012
FUNDACAO NACIONAL DE SAUDE - DF,Ministério da Saúde,2648,2013
HOSPITAL FEDERAL DE BONSUCESSO,Ministério da Saúde,54620,2011
HOSPITAL FEDERAL DE BONSUCESSO,Ministério da Saúde,129740,2012
HOSPITAL FEDERAL DE BONSUCESSO,Ministério da Saúde,166355,2013
HOSPITAL FEDERAL DE BONSUCESSO,Ministério da Saúde,10699,2016
HOSPITAL FEDERAL DE BONSUCESSO,Ministério da Saúde,238280,2017
INSTITUTO NACIONAL DO CANCER - RJ,Ministério da Saúde,66762,2011
INSTITUTO NACIONAL DO CANCER - RJ,Ministério da Saúde,212866,2013
INSTITUTO NACIONAL DO CANCER - RJ,Ministério da Saúde,205255,2017
INST. NACIONAL DE TRAUMATOLOGIA E ORTOPEDIA,Ministério da Saúde,3697,2011
INST. NACIONAL DE TRAUMATOLOGIA E ORTOPEDIA,Ministério da Saúde,85427,2013
INSTITUTO NACIONAL DE CARDIOLOGIA,Ministério da Saúde,15233,2016
INSTITUTO NACIONAL DE CARDIOLOGIA,Ministério da Saúde,233501,2017
HOSPITAL FEDERAL DOS SERVIDORES DO ESTADO,Ministério da Saúde,48894,2013
HOSPITAL FEDERAL DOS SERVIDORES DO ESTADO,Ministério da Saúde,47460,2017
HOSPITAL FEDERAL DE IPANEMA,Ministério da Saúde,1571,2011
HOSPITAL FEDERAL DE IPANEMA,Ministério da Saúde,775,2012
HOSPITAL FEDERAL DE IPANEMA,Ministério da Saúde,38525,2013
HOSPITAL FEDERAL DE IPANEMA,Ministério da Saúde,21460,2014
HOSPITAL FEDERAL DE IPANEMA,Ministério da Saúde,15736,2017
HOSPITAL FEDERAL CARDOSO FONTES,Ministério da Saúde,3715,2011
HOSPITAL FEDERAL CARDOSO FONTES,Ministério da Saúde,390,2012
HOSPITAL FEDERAL CARDOSO FONTES,Ministério da Saúde,83560,2013
HOSPITAL FEDERAL CARDOSO FONTES,Ministério da Saúde,14755,2016
HOSPITAL FEDERAL CARDOSO FONTES,Ministério da Saúde,11485,2017
HOSPITAL FEDERAL DA LAGOA,Ministério da Saúde,6441,2012
HOSPITAL FEDERAL DA LAGOA,Ministério da Saúde,99865,2013
HOSPITAL FEDERAL DA LAGOA,Ministério da Saúde,7568,2016
HOSPITAL FEDERAL DA LAGOA,Ministério da Saúde,30559,2017
HOSPITAL FEDERAL DO ANDARAI,Ministério da Saúde,63662,2011
HOSPITAL FEDERAL DO ANDARAI,Ministério da Saúde,132503,2013
HOSPITAL FEDERAL DO ANDARAI,Ministério da Saúde,148878,2014
HOSPITAL FEDERAL DO ANDARAI,Ministério da Saúde,12613,2016
HOSPITAL FEDERAL DO ANDARAI,Ministério da Saúde,235582,2017
HOSPITAL DE FORCA AEREA DO GALEAO,Ministério da Defesa,948,2011
11. DEPOSITO DE SUPRIMENTO,Ministério da Defesa,2592,2014
HOSPITAL MILITAR DE AREA DE CAMPO GRANDE,Ministério da Defesa,2477,2013
CENTRO DE OBTENCAO DA MARINHA NO R.J.,Ministério da Defesa,25193,2011
CENTRO DE OBTENCAO DA MARINHA NO R.J.,Ministério da Defesa,3191,2012
CENTRO DE OBTENCAO DA MARINHA NO R.J.,Ministério da Defesa,892,2013
HOSPITAL DAS FORCAS ARMADAS,Ministério da Defesa,1848,2017
HOSPITAL GERAL DO RIO DE JANEIRO,Ministério da Defesa,2104,2014
CENTRO DE OBTENCAO DA MARINHA NO R.J.,Ministério da Defesa,6262,2012
CENTRO DE OBTENCAO DA MARINHA NO R.J.,Ministério da Defesa,62325,2013
HOSPITAL MILITAR DE AREA DE CAMPO GRANDE,Ministério da Defesa,1754,2012
HOSPITAL MILITAR DE AREA DE CAMPO GRANDE,Ministério da Defesa,3303,2013
HOSPITAL CENTRAL DO EXERCITO,Ministério da Defesa,8206,2014
HOSPITAL DE GUARNICAO DE FLORIANOPOLIS,Ministério da Defesa,1109,2016
HOSPITAL NAVAL DE NATAL,Ministério da Defesa,9129,2017
GRUPAMENTO DE APOIO DA SAUDE,Ministério da Defesa,2480,2014
EBSERH - HOSPITAL UNIVERSITARIO ANA BEZERRA,Órgão Genérico Geratriz,3148,2016
EBSERH - HOSPITAL UNIVERSITARIO ANA BEZERRA,Órgão Genérico Geratriz,11641,2017
EBSERH - HOSPITAL UNIVERSITARIO DE NATAL,Órgão Genérico Geratriz,15053,2016
EBSERH - HOSPITAL UNIVERSITARIO DE NATAL,Órgão Genérico Geratriz,266219,2017
EBSERH - MATERNIDADE JANUARIO CICCO,Órgão Genérico Geratriz,5037,2016
EBSERH - MATERNIDADE JANUARIO CICCO,Órgão Genérico Geratriz,60862,2017
EBSERH HU-UNIVASF,Órgão Genérico Geratriz,17488,2017
