órgão,Subordinado a,Montante,Ano
HOSPITAL UNIVERSITARIO DA UFRJ,Ministério da Educação,3750,2011
HOSPITAL UNIVERSITARIO DA UFRJ,Ministério da Educação,977,2012
HOSPITAL UNIVERSITARIO DA UFRJ,Ministério da Educação,85423,2014
HOSPITAL UNIVERSITARIO DA UFRJ,Ministério da Educação,868,2015
HOSPITAL UNIVERSITARIO DA UFRJ,Ministério da Educação,279,2016
MATERNIDADE ESCOLA DA UFRJ,Ministério da Educação,124501,2011
MATERNIDADE ESCOLA DA UFRJ,Ministério da Educação,18065,2012
MATERNIDADE ESCOLA DA UFRJ,Ministério da Educação,44970,2013
MATERNIDADE ESCOLA DA UFRJ,Ministério da Educação,426,2014
HOSPITAL UNIV. GAFFREE E GUINLE DA UNIRIO,Ministério da Educação,566,2011
HOSPITAL UNIV. GAFFREE E GUINLE DA UNIRIO,Ministério da Educação,1124,2012
HOSPITAL UNIV. GAFFREE E GUINLE DA UNIRIO,Ministério da Educação,2378,2013
HOSPITAL UNIV. GAFFREE E GUINLE DA UNIRIO,Ministério da Educação,3882,2014
HOSPITAL UNIV. GAFFREE E GUINLE DA UNIRIO,Ministério da Educação,1225,2015
HOSPITAL UNIVERSITARIO C. ANTONIO MORAIS/UFES,Ministério da Educação,860,2012
HOSPITAL UNIVERSITARIO ANTONIO PEDRO DA UFF,Ministério da Educação,1168,2015
HOSPITAL UNIVERSITARIO - UFSC,Ministério da Educação,5739,2011
INSTITUTO FERNANDES FIGUEIRA,Ministério da Saúde,42721,2011
INSTITUTO FERNANDES FIGUEIRA,Ministério da Saúde,9001,2012
INSTITUTO FERNANDES FIGUEIRA,Ministério da Saúde,31347,2015
INSTITUTO FERNANDES FIGUEIRA,Ministério da Saúde,3426,2016
HOSPITAL FEDERAL DE BONSUCESSO,Ministério da Saúde,38258,2011
HOSPITAL FEDERAL DE BONSUCESSO,Ministério da Saúde,23046,2012
HOSPITAL FEDERAL DE BONSUCESSO,Ministério da Saúde,26207,2013
HOSPITAL FEDERAL DE BONSUCESSO,Ministério da Saúde,135,2015
HOSPITAL FEDERAL DE BONSUCESSO,Ministério da Saúde,4240,2016
INSTITUTO NACIONAL DO CANCER - RJ,Ministério da Saúde,4036,2011
INSTITUTO NACIONAL DO CANCER - RJ,Ministério da Saúde,559,2015
INSTITUTO NACIONAL DO CANCER - RJ,Ministério da Saúde,294,2016
HOSPITAL FEDERAL DOS SERVIDORES DO ESTADO,Ministério da Saúde,11868,2011
HOSPITAL FEDERAL DOS SERVIDORES DO ESTADO,Ministério da Saúde,636,2012
HOSPITAL FEDERAL DOS SERVIDORES DO ESTADO,Ministério da Saúde,26858,2013
HOSPITAL FEDERAL DOS SERVIDORES DO ESTADO,Ministério da Saúde,419,2015
HOSPITAL FEDERAL DOS SERVIDORES DO ESTADO,Ministério da Saúde,815,2016
HOSPITAL FEDERAL DE IPANEMA,Ministério da Saúde,278,2014
HOSPITAL FEDERAL DE IPANEMA,Ministério da Saúde,149,2015
HOSPITAL FEDERAL DE IPANEMA,Ministério da Saúde,2304,2016
HOSPITAL FEDERAL CARDOSO FONTES,Ministério da Saúde,207,2015
HOSPITAL FEDERAL DA LAGOA,Ministério da Saúde,7843,2015
HOSPITAL FEDERAL DO ANDARAI,Ministério da Saúde,20374,2015
HOSPITAL FEDERAL DO ANDARAI,Ministério da Saúde,8633,2016
CENTRO DE REPAROS E SUPRIM.ESP.CORPO FUZ.NAV.,Ministério da Defesa,4235,2015
CENTRO DE MISSEIS E ARMAS SUBMAR.DA MARINHA,Ministério da Defesa,715,2012
HOSPITAL NAVAL MARCILIO DIAS,Ministério da Defesa,744,2014
HOSPITAL NAVAL MARCILIO DIAS,Ministério da Defesa,5129,2016
CENTRO DE INSTRUCAO ALTE. SYLVIO DE CAMARGO,Ministério da Defesa,19212,2011
CENTRO DE INSTRUCAO ALTE. SYLVIO DE CAMARGO,Ministério da Defesa,23929,2012
CENTRO DE INSTRUCAO ALTE. SYLVIO DE CAMARGO,Ministério da Defesa,20291,2013
CENTRO DE INSTRUCAO ALTE. SYLVIO DE CAMARGO,Ministério da Defesa,9961,2014
GRUPAMENTO DE NAVIOS HIDROCEANOGRAFICOS,Ministério da Defesa,8024,2011
GRUPAMENTO DE NAVIOS HIDROCEANOGRAFICOS,Ministério da Defesa,1871,2012
GRUPAMENTO DE NAVIOS HIDROCEANOGRAFICOS,Ministério da Defesa,1054,2013
GRUPAMENTO DE NAVIOS HIDROCEANOGRAFICOS,Ministério da Defesa,1224,2014
ESCOLA NAVAL,Ministério da Defesa,7652,2011
ESCOLA NAVAL,Ministério da Defesa,11080,2012
CENTRO DE INSTRUCAO ALMIRANTE ALEXANDRINO,Ministério da Defesa,6858,2011
CENTRO DE INSTRUCAO ALMIRANTE ALEXANDRINO,Ministério da Defesa,6663,2012
CENTRO DE INSTRUCAO ALMIRANTE ALEXANDRINO,Ministério da Defesa,2713,2013
HOSPITAL NAVAL MARCILIO DIAS,Ministério da Defesa,1804,2011
HOSPITAL NAVAL MARCILIO DIAS,Ministério da Defesa,610,2015
HOSPITAL NAVAL MARCILIO DIAS,Ministério da Defesa,1886,2016
CENTRO DE OBTENCAO DA MARINHA NO R.J.,Ministério da Defesa,5520,2013
CENTRO DE OBTENCAO DA MARINHA NO R.J.,Ministério da Defesa,42481,2015
CENTRO DE OBTENCAO DA MARINHA NO R.J.,Ministério da Defesa,35230,2016
INSTITUTO DE PSIQUIATRIA DA UFRJ,Ministério da Educação,32796,2011
INSTITUTO DE PSIQUIATRIA DA UFRJ,Ministério da Educação,639279,2013
INSTITUTO DE PSIQUIATRIA DA UFRJ,Ministério da Educação,190254,2014
HOSPITAL CENTRAL_DA MARINHA,Ministério da Defesa,1364,2012
HOSPITAL CENTRAL_DA MARINHA,Ministério da Defesa,917,2013
CENTRO DE MEDICINA OPERATIVA DA MARINHA,Ministério da Defesa,2628,2011
CENTRO DE MEDICINA OPERATIVA DA MARINHA,Ministério da Defesa,3335,2013
GRUPAMENTO DE FUZILEIROS NAVAIS_DO RJ,Ministério da Defesa,11526,2013
BASE DE FUZILEIROS NAVAIS DA ILHA DAS FLORES,Ministério da Defesa,7746,2011
BASE DE FUZILEIROS NAVAIS DA ILHA DAS FLORES,Ministério da Defesa,3866,2012
BASE DE FUZILEIROS NAVAIS DA ILHA DAS FLORES,Ministério da Defesa,3083,2013
BASE DE FUZILEIROS NAVAIS DO RIO MERITI,Ministério da Defesa,36946,2011
BASE DE FUZILEIROS NAVAIS DO RIO MERITI,Ministério da Defesa,832,2013
HOSPITAL DE GUARNICAO DE JOAO PESSOA,Ministério da Defesa,1822,2011
CENTRO TECNOLOGICO DO EXERCITO,Ministério da Defesa,2337,2011
HOSPITAL CENTRAL DO EXERCITO,Ministério da Defesa,8875,2014
CENTRO INST.ALMIRANTE MILCIADES PORTELA ALVES,Ministério da Defesa,6588,2013
CENTRO INST.ALMIRANTE MILCIADES PORTELA ALVES,Ministério da Defesa,13538,2014
CENTRO INST.ALMIRANTE MILCIADES PORTELA ALVES,Ministério da Defesa,6316,2015
CENTRO INST.ALMIRANTE MILCIADES PORTELA ALVES,Ministério da Defesa,7179,2016
CENTRO DE MISSEIS E ARMAS SUBMAR.DA MARINHA,Ministério da Defesa,1852,2011
CENTRO DE MISSEIS E ARMAS SUBMAR.DA MARINHA,Ministério da Defesa,1719,2012
CENTRO DE MISSEIS E ARMAS SUBMAR.DA MARINHA,Ministério da Defesa,2713,2014
CENTRO DE MISSEIS E ARMAS SUBMAR.DA MARINHA,Ministério da Defesa,2459,2015
CENTRO DE MISSEIS E ARMAS SUBMAR.DA MARINHA,Ministério da Defesa,3833,2016
CENTRO DE INSTRUCAO ALMIRANTE WANDENKOLK,Ministério da Defesa,10350,2011
CENTRO DE INSTRUCAO ALMIRANTE WANDENKOLK,Ministério da Defesa,3974,2012
HOSPITAL CENTRAL_DA MARINHA,Ministério da Defesa,4754,2011
HOSPITAL CENTRAL_DA MARINHA,Ministério da Defesa,1254,2013
BATALHAO NAVAL,Ministério da Defesa,3242,2012
BATALHAO NAVAL,Ministério da Defesa,3191,2013
BATALHAO NAVAL,Ministério da Defesa,386,2016
COMANDO DA FORCA DE SUBMARINOS,Ministério da Defesa,1324,2012
BASE DE FUZILEIROS NAVAIS DO RIO MERITI,Ministério da Defesa,367,2011
BASE DE FUZILEIROS NAVAIS DO RIO MERITI,Ministério da Defesa,472,2013
BASE DE FUZILEIROS NAVAIS DO RIO MERITI,Ministério da Defesa,3637,2014
CENTRO DE AVALIAÇÃO DA ILHA DA MARAMBAIA,Ministério da Defesa,4327,2011
CENTRO DE AVALIAÇÃO DA ILHA DA MARAMBAIA,Ministério da Defesa,8701,2012
CENTRO DE AVALIAÇÃO DA ILHA DA MARAMBAIA,Ministério da Defesa,3155,2013
CENTRO DE AVALIAÇÃO DA ILHA DA MARAMBAIA,Ministério da Defesa,14494,2014
COMANDO DA FORCA DE SUPERFICIE,Ministério da Defesa,493,2011
COMANDO DA FORCA DE SUPERFICIE,Ministério da Defesa,2512,2016
COMANDO DO PRIMEIRO ESQUADRAO DE APOIO,Ministério da Defesa,743,2011
COMANDO DO PRIMEIRO ESQUADRAO DE APOIO,Ministério da Defesa,1990,2016
BASE DE FUZILEIROS NAVAIS DA ILHA DAS FLORES,Ministério da Defesa,6148,2011
BATALHAO DE OPERACOES ESPECIAIS DE FN,Ministério da Defesa,1498,2011
BATALHAO DE OPERACOES ESPECIAIS DE FN,Ministério da Defesa,571,2012
BATALHAO DE OPERACOES ESPECIAIS DE FN,Ministério da Defesa,1193,2013
BATALHAO DE OPERACOES ESPECIAIS DE FN,Ministério da Defesa,793,2015
BATALHAO DE OPERACOES ESPECIAIS DE FN,Ministério da Defesa,4458,2016
COMANDO DO SEGUNDO ESQUADRAO DE ESCOLTA,Ministério da Defesa,3485,2011
GRUPAMENTO DE FUZILEIROS NAVAIS_DO RJ,Ministério da Defesa,17403,2011
CENTRO DE MEDICINA OPERATIVA DA MARINHA,Ministério da Defesa,1217,2013
CENTRO DE REPAROS E SUPRIM.ESP.CORPO FUZ.NAV.,Ministério da Defesa,1984,2014
COMANDO DO PRIMEIRO ESQUADRAO DE ESCOLTAS,Ministério da Defesa,3084,2012
INST.NACIONAL DE INFECTOLOGIA EVANDRO CHAGAS,Ministerio da Saúde,10292,2015
INST.NACIONAL DE INFECTOLOGIA EVANDRO CHAGAS,Ministério da Saúde,23663,2016
GRUPAMENTO DE APOIO DA SAUDE,Ministério da Defesa,769,2014
GRUPAMENTO DE APOIO DA SAUDE,Ministério da Defesa,14572,2015
GRUPAMENTO DE APOIO DA SAUDE,Ministério da Defesa,10261,2016
GRUPAMENTO DE APOIO DA SAUDE,Ministério da Defesa,842,2017
