órgão,Subordinado a,Montante,Ano
MATERNIDADE CLIMERIO DE OLIVEIRA,Ministério da Educação,3356,2014
HOSPITAL PROF. EDGARD SANTOS DA UFBA,Ministério da Educação,174143,2011
HOSPITAL PROF. EDGARD SANTOS DA UFBA,Ministério da Educação,97508,2012
HOSPITAL PROF. EDGARD SANTOS DA UFBA,Ministério da Educação,46222,2013
HOSPITAL PROF. EDGARD SANTOS DA UFBA,Ministério da Educação,32345,2014
HOSPITAL PROF. EDGARD SANTOS DA UFBA,Ministério da Educação,125729,2015
HOSPITAL PROF. EDGARD SANTOS DA UFBA,Ministério da Educação,204422,2016
HOSPITAL PROF. EDGARD SANTOS DA UFBA,Ministério da Educação,215403,2017
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,Ministério da Educação,498870,2011
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,Ministério da Educação,444891,2012
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,Ministério da Educação,3691,2013
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,Ministério da Educação,35649,2015
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,Ministério da Educação,213528,2016
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,Ministério da Educação,789278,2017
MATERNIDADE ESCOLA ASSIS CHATEAUBRIAND,Ministério da Educação,38343,2016
MATERNIDADE ESCOLA ASSIS CHATEAUBRIAND,Ministério da Educação,812698,2017
HOSPITAL DAS CLINICAS DA UFGO,Ministério da Educação,13506,2011
HOSPITAL DAS CLINICAS DA UFGO,Ministério da Educação,42675,2012
HOSPITAL DAS CLINICAS DA UFGO,Ministério da Educação,18217,2013
HOSPITAL DAS CLINICAS DA UFGO,Ministério da Educação,24547,2015
HOSPITAL DAS CLINICAS DA UFGO,Ministério da Educação,48050,2016
HOSPITAL DAS CLINICAS DA UFGO,Ministério da Educação,485163,2017
HOSPITAL UNIVERSITARIO,Ministério da Educação,14974,2011
HOSPITAL UNIVERSITARIO,Ministério da Educação,59740,2012
HOSPITAL UNIVERSITARIO,Ministério da Educação,23943,2013
HOSPITAL UNIVERSITARIO,Ministério da Educação,729,2015
HOSPITAL UNIVERSITARIO,Ministério da Educação,92178,2016
HOSPITAL UNIVERSITARIO LAURO WANDERLEY-UFPB,Ministério da Educação,98918,2011
HOSPITAL UNIVERSITARIO LAURO WANDERLEY-UFPB,Ministério da Educação,103229,2012
HOSPITAL UNIVERSITARIO LAURO WANDERLEY-UFPB,Ministério da Educação,48919,2013
HOSPITAL UNIVERSITARIO LAURO WANDERLEY-UFPB,Ministério da Educação,255149,2014
HOSPITAL UNIVERSITARIO LAURO WANDERLEY-UFPB,Ministério da Educação,5772,2015
UNIVERSIDADE FEDERAL DO PARANA,Ministério da Educação,72328,2013
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,Ministério da Educação,820,2011
HOSPITAL UNIVERSITARIO ANA BEZERRA,Ministério da Educação,1518,2011
HOSPITAL UNIVERSITARIO ANA BEZERRA,Ministério da Educação,1229,2013
HOSPITAL UNIVERSITARIO ANA BEZERRA,Ministério da Educação,2833,2014
HOSPITAL UNIVERSITARIO ONOFRE LOPES DA UFRN,Ministério da Educação,33685,2011
HOSPITAL UNIVERSITARIO ONOFRE LOPES DA UFRN,Ministério da Educação,7627,2012
HOSPITAL UNIVERSITARIO ONOFRE LOPES DA UFRN,Ministério da Educação,60459,2013
HOSPITAL UNIVERSITARIO ONOFRE LOPES DA UFRN,Ministério da Educação,152386,2014
HOSPITAL UNIVERSITARIO ONOFRE LOPES DA UFRN,Ministério da Educação,26848,2015
MATERNIDADE ESCOLA JANUARIO CICCO DA UFRN,Ministério da Educação,13588,2011
MATERNIDADE ESCOLA JANUARIO CICCO DA UFRN,Ministério da Educação,16115,2013
MATERNIDADE ESCOLA JANUARIO CICCO DA UFRN,Ministério da Educação,49423,2014
MATERNIDADE ESCOLA JANUARIO CICCO DA UFRN,Ministério da Educação,3400,2015
HOSP.PEDIATRIA PROF. HERIBERTO F. BEZERRA,Ministério da Educação,9437,2011
HOSP.PEDIATRIA PROF. HERIBERTO F. BEZERRA,Ministério da Educação,8603,2013
HOSP.PEDIATRIA PROF. HERIBERTO F. BEZERRA,Ministério da Educação,1763,2014
INSTITUTO PUERIC. PED MAT. GESTEIRA DA UFRJ,Ministério da Educação,5180,2011
INSTITUTO PUERIC. PED MAT. GESTEIRA DA UFRJ,Ministério da Educação,5234,2012
INSTITUTO PUERIC. PED MAT. GESTEIRA DA UFRJ,Ministério da Educação,1946,2014
INSTITUTO PUERIC. PED MAT. GESTEIRA DA UFRJ,Ministério da Educação,25952,2015
INSTITUTO PUERIC. PED MAT. GESTEIRA DA UFRJ,Ministério da Educação,9719,2016
INSTITUTO PUERIC. PED MAT. GESTEIRA DA UFRJ,Ministério da Educação,4003,2017
HOSPITAL UNIVERSITARIO DA UFRJ,Ministério da Educação,110715,2011
HOSPITAL UNIVERSITARIO DA UFRJ,Ministério da Educação,50134,2012
HOSPITAL UNIVERSITARIO DA UFRJ,Ministério da Educação,1453,2013
HOSPITAL UNIVERSITARIO DA UFRJ,Ministério da Educação,20971,2015
HOSPITAL UNIVERSITARIO DA UFRJ,Ministério da Educação,83557,2016
HOSPITAL UNIVERSITARIO DA UFRJ,Ministério da Educação,813118,2017
UNIVERSIDADE FEDERAL DE SANTA MARIA - HUSM,Ministério da Educação,166548,2011
UNIVERSIDADE FEDERAL DE SANTA MARIA - HUSM,Ministério da Educação,21547,2012
UNIVERSIDADE FEDERAL DE SANTA MARIA - HUSM,Ministério da Educação,60177,2013
UNIVERSIDADE FEDERAL DE SANTA MARIA - HUSM,Ministério da Educação,126292,2015
HOSPITAL UNIV. GAFFREE E GUINLE DA UNIRIO,Ministério da Educação,11312,2012
HOSPITAL UNIV. GAFFREE E GUINLE DA UNIRIO,Ministério da Educação,5812,2015
HOSPITAL UNIVERSITARIO DE BRASILIA - HUB,Ministério da Educação,1551,2012
HOSPITAL UNIVERSITARIO DE BRASILIA - HUB,Ministério da Educação,2107,2013
HOSPITAL UNIVERSITARIO DE BRASILIA - HUB,Ministério da Educação,3397,2014
UNIVERSIDADE FEDERAL DO RIO GRANDE - FURG,Ministério da Educação,21464,2011
UNIVERSIDADE FEDERAL DO RIO GRANDE - FURG,Ministério da Educação,71830,2012
HOSPITAL DE CLINICAS DA UFU,Ministério da Educação,17915,2011
HOSPITAL DE CLINICAS DA UFU,Ministério da Educação,8482,2012
HOSPITAL DE CLINICAS DA UFU,Ministério da Educação,19553,2013
HOSPITAL DE CLINICAS DA UFU,Ministério da Educação,16938,2014
HOSPITAL DE CLINICAS DA UFU,Ministério da Educação,75203,2015
HOSPITAL DE CLINICAS DA UFU,Ministério da Educação,217274,2016
HOSPITAL DE CLINICAS DA UFU,Ministério da Educação,934304,2017
FUNDACAO UNIVERSIDADE FEDERAL DE UBERLANDIA,Ministério da Educação,609189,2017
HOSPITAL UNIVERSITARIO DA UFPI,Ministério da Educação,2815,2013
HOSPITAL DE CLINICAS DE PORTO ALEGRE,Ministério da Educação,482928,2011
HOSPITAL DE CLINICAS DE PORTO ALEGRE,Ministério da Educação,356580,2012
HOSPITAL DE CLINICAS DE PORTO ALEGRE,Ministério da Educação,222124,2013
HOSPITAL DE CLINICAS DE PORTO ALEGRE,Ministério da Educação,687713,2014
HOSPITAL DE CLINICAS DE PORTO ALEGRE,Ministério da Educação,287661,2015
HOSPITAL DE CLINICAS DE PORTO ALEGRE,Ministério da Educação,123191,2016
HOSPITAL DE CLINICAS DE PORTO ALEGRE,Ministério da Educação,683293,2017
HOSPITAL UNIVERSITARIO PROF ALBERTO ANTUNES,Ministério da Educação,21687,2011
HOSPITAL UNIVERSITARIO PROF ALBERTO ANTUNES,Ministério da Educação,1344,2012
HOSPITAL UNIVERSITARIO PROF ALBERTO ANTUNES,Ministério da Educação,3338,2013
HOSPITAL UNIVERSITARIO PROF ALBERTO ANTUNES,Ministério da Educação,1022,2016
HOSPITAL UNIVERSITARIO PROF ALBERTO ANTUNES,Ministério da Educação,10758,2017
COMPLEXO HOSPITALAR E DE SAUDE DA UFBA,Ministério da Educação,15146,2012
COMPLEXO HOSPITALAR E DE SAUDE DA UFBA,Ministério da Educação,51,2016
HOSPITAL UNIVERSITARIO C. ANTONIO MORAIS/UFES,Ministério da Educação,27190,2011
HOSPITAL UNIVERSITARIO C. ANTONIO MORAIS/UFES,Ministério da Educação,9626,2012
HOSPITAL UNIVERSITARIO C. ANTONIO MORAIS/UFES,Ministério da Educação,24778,2013
HOSPITAL UNIVERSITARIO C. ANTONIO MORAIS/UFES,Ministério da Educação,270069,2014
HOSPITAL UNIVERSITARIO C. ANTONIO MORAIS/UFES,Ministério da Educação,53510,2015
HOSPITAL UNIVERSITARIO C. ANTONIO MORAIS/UFES,Ministério da Educação,31448,2016
HOSPITAL UNIVERSITARIO C. ANTONIO MORAIS/UFES,Ministério da Educação,64589,2017
HOSPITAL UNIVERSITARIO ANTONIO PEDRO DA UFF,Ministério da Educação,21229,2011
HOSPITAL UNIVERSITARIO ANTONIO PEDRO DA UFF,Ministério da Educação,92336,2012
HOSPITAL UNIVERSITARIO ANTONIO PEDRO DA UFF,Ministério da Educação,3935,2013
HOSPITAL UNIVERSITARIO ANTONIO PEDRO DA UFF,Ministério da Educação,65061,2016
HOSPITAL UNIVERSITARIO ANTONIO PEDRO DA UFF,Ministério da Educação,220129,2017
HOSPITAL CLINICAS/UFMG,Ministério da Educação,156323,2011
HOSPITAL CLINICAS/UFMG,Ministério da Educação,288586,2012
HOSPITAL CLINICAS/UFMG,Ministério da Educação,372697,2013
HOSPITAL CLINICAS/UFMG,Ministério da Educação,301611,2014
HOSPITAL CLINICAS/UFMG,Ministério da Educação,11289,2015
HOSPITAL CLINICAS/UFMG,Ministério da Educação,383503,2016
HOSPITAL CLINICAS/UFMG,Ministério da Educação,1824346,2017
HOSPITAL UNIVERSITARIO JOAO DE BARROS BARRETO,Ministério da Educação,228013,2011
HOSPITAL UNIVERSITARIO JOAO DE BARROS BARRETO,Ministério da Educação,194541,2012
HOSPITAL UNIVERSITARIO JOAO DE BARROS BARRETO,Ministério da Educação,89893,2013
HOSPITAL UNIVERSITARIO JOAO DE BARROS BARRETO,Ministério da Educação,48331,2014
HOSPITAL UNIVERSITARIO JOAO DE BARROS BARRETO,Ministério da Educação,103200,2015
HOSPITAL UNIVERSITARIO JOAO DE BARROS BARRETO,Ministério da Educação,54997,2016
HOSPITAL UNIVERSITARIO JOAO DE BARROS BARRETO,Ministério da Educação,996619,2017
HOSPITAL DE CLINICAS DA UFPR,Ministério da Educação,90298,2011
HOSPITAL DE CLINICAS DA UFPR,Ministério da Educação,151507,2012
HOSPITAL DE CLINICAS DA UFPR,Ministério da Educação,40463,2013
HOSPITAL DE CLINICAS DA UFPR,Ministério da Educação,7546,2014
HOSPITAL DE CLINICAS DA UFPR,Ministério da Educação,13129,2015
HOSPITAL DAS CLINICAS - UFPE,Ministério da Educação,121152,2011
HOSPITAL DAS CLINICAS - UFPE,Ministério da Educação,10262,2012
HOSPITAL DAS CLINICAS - UFPE,Ministério da Educação,18729,2013
HOSPITAL DAS CLINICAS - UFPE,Ministério da Educação,51289,2015
HOSPITAL DAS CLINICAS - UFPE,Ministério da Educação,139054,2016
HOSPITAL DAS CLINICAS - UFPE,Ministério da Educação,544573,2017
HOSPITAL UNIVERSITARIO (HU/UFGD),Ministério da Educação,70116,2011
HOSPITAL UNIVERSITARIO (HU/UFGD),Ministério da Educação,15713,2012
HOSPITAL UNIVERSITARIO (HU/UFGD),Ministério da Educação,6565,2015
HOSPITAL UNIVERSITARIO (HU/UFGD),Ministério da Educação,8049,2016
HOSPITAL UNIVERSITARIO - UFSC,Ministério da Educação,62669,2011
HOSPITAL UNIVERSITARIO - UFSC,Ministério da Educação,48558,2012
HOSPITAL UNIVERSITARIO - UFSC,Ministério da Educação,5127,2013
HOSPITAL UNIVERSITARIO - UFSC,Ministério da Educação,29845,2014
HOSPITAL UNIVERSITARIO - UFSC,Ministério da Educação,2188,2015
HOSPITAL UNIVERSITARIO - UFSC,Ministério da Educação,25860,2016
HOSPITAL UNIVERSITARIO - UFSC,Ministério da Educação,82983,2017
HOSPITAL UNIVERSITARIO ALCIDES CARNEIRO/UFCG,Ministério da Educação,64811,2011
HOSPITAL UNIVERSITARIO ALCIDES CARNEIRO/UFCG,Ministério da Educação,61744,2012
