órgão,Subordinado a,Montante,Ano
LABORATORIO NACIONAL AGROPECUARIO NO PARA,"Ministério da Agricultura, Pecuária e Abastecimento",39232,2011
LABORATORIO NACIONAL AGROPECUARIO NO PARA,"Ministério da Agricultura, Pecuária e Abastecimento",13781,2015
LABORATORIO NACIONAL AGROPECUARIO NO PARA,"Ministério da Agricultura, Pecuária e Abastecimento",6336,2016
UNIVERSIDADE FEDERAL DO PARA,Ministério da Educação,15240,2015
HOSPITAL UNIVERSITARIO JOAO DE BARROS BARRETO,Ministério da Educação,446836,2011
HOSPITAL UNIVERSITARIO JOAO DE BARROS BARRETO,Ministério da Educação,336912,2012
HOSPITAL UNIVERSITARIO JOAO DE BARROS BARRETO,Ministério da Educação,129851,2013
HOSPITAL UNIVERSITARIO JOAO DE BARROS BARRETO,Ministério da Educação,284761,2014
HOSPITAL UNIVERSITARIO JOAO DE BARROS BARRETO,Ministério da Educação,130306,2015
HOSPITAL UNIVERSITARIO JOAO DE BARROS BARRETO,Ministério da Educação,29103,2016
HOSPITAL UNIVERSITARIO JOAO DE BARROS BARRETO,Ministério da Educação,586486,2017
HOSPITAL UNIVERSITÁRIO BETTINA FERRO DE SOUZA,Ministério da Educação,1263,2012
HOSPITAL UNIVERSITÁRIO BETTINA FERRO DE SOUZA,Ministério da Educação,2641,2016
HOSPITAL UNIVERSITÁRIO BETTINA FERRO DE SOUZA,Ministério da Educação,22039,2017
HOSPITAL UNIVERSITARIO (HU/UFGD),Ministério da Educação,43456,2017
HOSPITAL UNIVERSITARIO GETULIO VARGAS,Ministério da Educação,6418,2012
HOSPITAL UNIVERSITARIO GETULIO VARGAS,Ministério da Educação,26451,2013
HOSPITAL UNIVERSITARIO GETULIO VARGAS,Ministério da Educação,7802,2014
HOSPITAL UNIVERSITARIO GETULIO VARGAS,Ministério da Educação,74,2016
HOSPITAL UNIVERSITARIO,Ministério da Educação,126569,2013
SUPERINTENDENCIA REGIONAL NO ESTADO DO PA,Ministério da Justiça,586273,2011
SUPERINTENDENCIA REGIONAL NO ESTADO DO PA,Ministério da Justiça,598737,2012
SUPERINTENDENCIA REGIONAL NO ESTADO DO PA,Ministério da Justiça,604654,2013
SUPERINTENDENCIA REGIONAL NO ESTADO DO PA,Ministério da Justiça,478500,2014
SUPERINTENDENCIA REGIONAL NO ESTADO DO PA,Ministério da Justiça,551543,2015
SUPERINTENDENCIA REGIONAL NO ESTADO DO PA,Ministério da Justiça,641101,2016
SUPERINTENDENCIA REGIONAL NO ESTADO DO PA,Ministério da Justiça,1896575,2017
HOSPITAL FEDERAL DO ANDARAI,Ministério da Saúde,17919,2015
INSTITUTO EVANDRO CHAGAS,Ministério da Saúde,936,2011
I COMANDO AEREO REGIONAL,Ministério da Defesa,66331,2011
I COMANDO AEREO REGIONAL,Ministério da Defesa,65352,2012
I COMANDO AEREO REGIONAL,Ministério da Defesa,21364,2013
I COMANDO AEREO REGIONAL,Ministério da Defesa,206,2014
I COMANDO AEREO REGIONAL,Ministério da Defesa,2875,2016
1 BATALHAO DE INFANTARIA DE SELVA(AEROMOVEL),Ministério da Defesa,2616,2016
1 BATALHAO DE INFANTARIA DE SELVA(AEROMOVEL),Ministério da Defesa,6411,2017
COMANDO DO COMANDO MILITAR DA AMAZONIA,Ministério da Defesa,7102,2017
12. BATALHAO DE SUPRIMENTO,Ministério da Defesa,81500,2017
HOSPITAL MILITAR DE AREA DE MANAUS,Ministério da Defesa,4177,2011
HOSPITAL MILITAR DE AREA DE MANAUS,Ministério da Defesa,4337,2016
8. DEPOSITO DE SUPRIMENTO,Ministério da Defesa,21158,2012
HOSPITAL GERAL DE BELEM,Ministério da Defesa,34568,2012
HOSPITAL GERAL DE BELEM,Ministério da Defesa,99091,2013
