órgão,Subordinado a,Montante,Ano
COMISSAO NACIONAL DE ENERGIA NUCLEAR-SEDE,Ministério da Ciência e Tecnologia,762,2016
INSTITUTO BENJAMIN CONSTANT-RJ,Ministério da Educação,2222,2016
FUND. UNIVERSIDADE FEDERAL VALE SAO FRANCISCO,Ministério da Educação,190,2016
MATERNIDADE CLIMERIO DE OLIVEIRA,Ministério da Educação,5889,2011
MATERNIDADE CLIMERIO DE OLIVEIRA,Ministério da Educação,17353,2012
MATERNIDADE CLIMERIO DE OLIVEIRA,Ministério da Educação,3467,2013
HOSPITAL PROF. EDGARD SANTOS DA UFBA,Ministério da Educação,293773,2011
HOSPITAL PROF. EDGARD SANTOS DA UFBA,Ministério da Educação,395468,2012
HOSPITAL PROF. EDGARD SANTOS DA UFBA,Ministério da Educação,47951,2013
HOSPITAL PROF. EDGARD SANTOS DA UFBA,Ministério da Educação,25328,2015
HOSPITAL PROF. EDGARD SANTOS DA UFBA,Ministério da Educação,7352,2016
HOSPITAL PROF. EDGARD SANTOS DA UFBA,Ministério da Educação,49016,2017
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,Ministério da Educação,248224,2011
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,Ministério da Educação,84608,2012
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,Ministério da Educação,42044,2013
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,Ministério da Educação,19615,2014
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,Ministério da Educação,2094,2015
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,Ministério da Educação,50470,2016
HOSPITAL UNIVERSITARIO WALTER CANTIDIO,Ministério da Educação,284042,2017
MATERNIDADE ESCOLA ASSIS CHATEAUBRIAND,Ministério da Educação,18924,2011
MATERNIDADE ESCOLA ASSIS CHATEAUBRIAND,Ministério da Educação,6001,2013
MATERNIDADE ESCOLA ASSIS CHATEAUBRIAND,Ministério da Educação,27539,2014
MATERNIDADE ESCOLA ASSIS CHATEAUBRIAND,Ministério da Educação,46633,2016
MATERNIDADE ESCOLA ASSIS CHATEAUBRIAND,Ministério da Educação,90879,2017
HOSPITAL DAS CLINICAS DA UFGO,Ministério da Educação,49536,2011
HOSPITAL DAS CLINICAS DA UFGO,Ministério da Educação,166428,2012
HOSPITAL DAS CLINICAS DA UFGO,Ministério da Educação,136088,2013
HOSPITAL DAS CLINICAS DA UFGO,Ministério da Educação,126543,2014
HOSPITAL DAS CLINICAS DA UFGO,Ministério da Educação,55966,2015
HOSPITAL DAS CLINICAS DA UFGO,Ministério da Educação,34469,2016
HOSPITAL DAS CLINICAS DA UFGO,Ministério da Educação,43502,2017
PRO-REITORIA DE ADMINISTRACAO/UFF,Ministério da Educação,2385,2011
PRO-REITORIA DE ADMINISTRACAO/UFF,Ministério da Educação,849,2012
HOSPITAL UNIVERSITARIO,Ministério da Educação,94877,2011
HOSPITAL UNIVERSITARIO,Ministério da Educação,59350,2012
HOSPITAL UNIVERSITARIO,Ministério da Educação,145017,2013
HOSPITAL UNIVERSITARIO,Ministério da Educação,24093,2014
HOSPITAL UNIVERSITARIO,Ministério da Educação,132034,2015
HOSPITAL UNIVERSITARIO,Ministério da Educação,110477,2016
HOSPITAL UNIVERSITARIO,Ministério da Educação,8169,2017
UNIVERSIDADE FEDERAL DE JUIZ DE FORA,Ministério da Educação,174,2011
PRO-REITORIA DE PESQUISA/UFMG,Ministério da Educação,2060,2016
PRO-REITORIA DE PESQUISA/UFMG,Ministério da Educação,6413,2017
ESCOLA DE VETERINARIA/UFMG,Ministério da Educação,1785,2011
FACULDADE DE ODONTOLOGIA/UFMG,Ministério da Educação,8199,2011
FACULDADE DE ODONTOLOGIA/UFMG,Ministério da Educação,1153,2012
UNIVERSIDADE FEDERAL DA PARAIBA,Ministério da Educação,406,2011
UNIVERSIDADE FEDERAL DA PARAIBA,Ministério da Educação,184,2012
HOSPITAL UNIVERSITARIO LAURO WANDERLEY-UFPB,Ministério da Educação,86664,2011
HOSPITAL UNIVERSITARIO LAURO WANDERLEY-UFPB,Ministério da Educação,104818,2012
HOSPITAL UNIVERSITARIO LAURO WANDERLEY-UFPB,Ministério da Educação,18531,2013
HOSPITAL UNIVERSITARIO LAURO WANDERLEY-UFPB,Ministério da Educação,15994,2014
HOSPITAL UNIVERSITARIO LAURO WANDERLEY-UFPB,Ministério da Educação,20676,2015
CENTRO DE CIENCIAS AGRARIAS DA UFPB,Ministério da Educação,1418,2011
CENTRO DE CIENCIAS AGRARIAS DA UFPB,Ministério da Educação,490,2012
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,Ministério da Educação,5426,2011
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,Ministério da Educação,3084,2012
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,Ministério da Educação,71,2013
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,Ministério da Educação,469,2015
HOSPITAL UNIVERSITARIO ANA BEZERRA,Ministério da Educação,10904,2011
HOSPITAL UNIVERSITARIO ANA BEZERRA,Ministério da Educação,7435,2012
HOSPITAL UNIVERSITARIO ANA BEZERRA,Ministério da Educação,3570,2013
HOSPITAL UNIVERSITARIO ONOFRE LOPES DA UFRN,Ministério da Educação,80636,2011
HOSPITAL UNIVERSITARIO ONOFRE LOPES DA UFRN,Ministério da Educação,66538,2012
HOSPITAL UNIVERSITARIO ONOFRE LOPES DA UFRN,Ministério da Educação,45351,2013
HOSPITAL UNIVERSITARIO ONOFRE LOPES DA UFRN,Ministério da Educação,28205,2015
CENTRO DE BIOCIENCIAS DA UFRN,Ministério da Educação,905,2011
CENTRO DE BIOCIENCIAS DA UFRN,Ministério da Educação,109,2013
MATERNIDADE ESCOLA JANUARIO CICCO DA UFRN,Ministério da Educação,31465,2011
MATERNIDADE ESCOLA JANUARIO CICCO DA UFRN,Ministério da Educação,25584,2012
MATERNIDADE ESCOLA JANUARIO CICCO DA UFRN,Ministério da Educação,10736,2013
MATERNIDADE ESCOLA JANUARIO CICCO DA UFRN,Ministério da Educação,15413,2014
MATERNIDADE ESCOLA JANUARIO CICCO DA UFRN,Ministério da Educação,1618,2015
HOSP.PEDIATRIA PROF. HERIBERTO F. BEZERRA,Ministério da Educação,8774,2011
HOSP.PEDIATRIA PROF. HERIBERTO F. BEZERRA,Ministério da Educação,11576,2012
HOSP.PEDIATRIA PROF. HERIBERTO F. BEZERRA,Ministério da Educação,5324,2013
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,Ministério da Educação,2961,2017
INSTITUTO PUERIC. PED MAT. GESTEIRA DA UFRJ,Ministério da Educação,1944,2011
INSTITUTO PUERIC. PED MAT. GESTEIRA DA UFRJ,Ministério da Educação,12608,2012
INSTITUTO PUERIC. PED MAT. GESTEIRA DA UFRJ,Ministério da Educação,5260,2014
INSTITUTO PUERIC. PED MAT. GESTEIRA DA UFRJ,Ministério da Educação,9304,2015
INSTITUTO PUERIC. PED MAT. GESTEIRA DA UFRJ,Ministério da Educação,37096,2016
INSTITUTO PUERIC. PED MAT. GESTEIRA DA UFRJ,Ministério da Educação,73794,2017
HOSPITAL UNIVERSITARIO DA UFRJ,Ministério da Educação,82995,2011
HOSPITAL UNIVERSITARIO DA UFRJ,Ministério da Educação,73506,2012
HOSPITAL UNIVERSITARIO DA UFRJ,Ministério da Educação,24251,2013
HOSPITAL UNIVERSITARIO DA UFRJ,Ministério da Educação,7466,2014
HOSPITAL UNIVERSITARIO DA UFRJ,Ministério da Educação,2140,2015
HOSPITAL UNIVERSITARIO DA UFRJ,Ministério da Educação,43383,2016
HOSPITAL UNIVERSITARIO DA UFRJ,Ministério da Educação,305841,2017
UNIVERSIDADE FEDERAL DE SANTA CATARINA,Ministério da Educação,1535,2011
UNIVERSIDADE FEDERAL DE SANTA MARIA,Ministério da Educação,1408,2011
UNIVERSIDADE FEDERAL DE SANTA MARIA,Ministério da Educação,7425,2012
UNIVERSIDADE FEDERAL DE SANTA MARIA - HUSM,Ministério da Educação,54101,2011
UNIVERSIDADE FEDERAL DE SANTA MARIA - HUSM,Ministério da Educação,19900,2012
UNIVERSIDADE FEDERAL DE SANTA MARIA - HUSM,Ministério da Educação,1793,2013
UNIVERSIDADE FEDERAL DE SANTA MARIA - HUSM,Ministério da Educação,11776,2014
UNIVERSIDADE FEDERAL DE SANTA MARIA - HUSM,Ministério da Educação,54717,2015
UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,Ministério da Educação,10357,2012
CENTRO DE EDUCACAO E SAUDE DA UFCG,Ministério da Educação,1170,2011
CENTRO DE SAUDE E TECNOLOGIA RURAL DA UFCG,Ministério da Educação,2548,2011
CENTRO DE SAUDE E TECNOLOGIA RURAL DA UFCG,Ministério da Educação,373,2012
CENTRO DE SAUDE E TECNOLOGIA RURAL DA UFCG,Ministério da Educação,2023,2013
CENTRO DE SAUDE E TECNOLOGIA RURAL DA UFCG,Ministério da Educação,2655,2017
CENTRO FED.DE EDUCACAO TECNOL.DE MINAS GERAIS,Ministério da Educação,535,2016
UNIVERSIDADE FEDERAL DE ALFENAS,Ministério da Educação,999,2012
UNIVERSIDADE FEDERAL DE LAVRAS,Ministério da Educação,1940,2011
HOSPITAL UNIV. GAFFREE E GUINLE DA UNIRIO,Ministério da Educação,36932,2011
HOSPITAL UNIV. GAFFREE E GUINLE DA UNIRIO,Ministério da Educação,31068,2012
HOSPITAL UNIV. GAFFREE E GUINLE DA UNIRIO,Ministério da Educação,3187,2013
HOSPITAL UNIV. GAFFREE E GUINLE DA UNIRIO,Ministério da Educação,816,2015
HOSPITAL UNIV. GAFFREE E GUINLE DA UNIRIO,Ministério da Educação,90796,2016
HOSPITAL UNIV. GAFFREE E GUINLE DA UNIRIO,Ministério da Educação,37961,2017
