órgão,Subordinado a,Montante,Ano
HOSPITAL PROF. EDGARD SANTOS DA UFBA,Ministério da Educação,1205,2012
HOSPITAL PROF. EDGARD SANTOS DA UFBA,Ministério da Educação,17442,2013
PRO-REITORIA DE ADMINISTRACAO/UFF,Ministério da Educação,2460,2011
PRO-REITORIA DE ADMINISTRACAO/UFF,Ministério da Educação,13643,2012
PRO-REITORIA DE ADMINISTRACAO/UFF,Ministério da Educação,1064,2013
PRO-REITORIA DE GRADUAÇÃO/UFF,Ministério da Educação,4179,2013
INSTITUTO PUERIC. PED MAT. GESTEIRA DA UFRJ,Ministério da Educação,16,2013
HOSPITAL DE CLINICAS DA UFPR,Ministério da Educação,4477,2012
FUNDACAO OSWALDO CRUZ,Ministério da Saúde,2461,2011
FUNDACAO OSWALDO CRUZ,Ministério da Saúde,12202,2012
FUNDACAO OSWALDO CRUZ,Ministério da Saúde,16671,2013
INSTITUTO FERNANDES FIGUEIRA,Ministério da Saúde,3276,2011
INSTITUTO FERNANDES FIGUEIRA,Ministério da Saúde,255,2012
ESCOLA NAC. DE SAUDE PÚBLICA SERGIO AROUCA,Ministério da Saúde,457,2011
ESCOLA NAC. DE SAUDE PÚBLICA SERGIO AROUCA,Ministério da Saúde,1197,2012
DEPARTAMENTO DE LOGISTICA EM SAUDE - DLOG,Ministério da Saúde,1897,2011
DEPARTAMENTO DE LOGISTICA EM SAUDE - DLOG,Ministério da Saúde,22635,2012
DEPARTAMENTO DE LOGISTICA EM SAUDE - DLOG,Ministério da Saúde,18980,2013
DEPARTAMENTO DE LOGISTICA EM SAUDE - DLOG,Ministério da Saúde,11225,2015
DEPARTAMENTO DE LOGISTICA EM SAUDE - DLOG,Ministério da Saúde,1948,2016
HOSPITAL FEDERAL DE BONSUCESSO,Ministério da Saúde,2606,2013
INSTITUTO NACIONAL DO CANCER - RJ,Ministério da Saúde,21492,2011
INSTITUTO NACIONAL DO CANCER - RJ,Ministério da Saúde,47355,2012
INSTITUTO NACIONAL DO CANCER - RJ,Ministério da Saúde,8163,2013
INSTITUTO NACIONAL DO CANCER - RJ,Ministério da Saúde,8465,2014
INSTITUTO NACIONAL DO CANCER - RJ,Ministério da Saúde,13817,2015
INST. NACIONAL DE TRAUMATOLOGIA E ORTOPEDIA,Ministério da Saúde,760,2011
INST. NACIONAL DE TRAUMATOLOGIA E ORTOPEDIA,Ministério da Saúde,255,2012
INSTITUTO NACIONAL DE CARDIOLOGIA,Ministério da Saúde,16844,2011
INSTITUTO NACIONAL DE CARDIOLOGIA,Ministério da Saúde,33295,2012
INSTITUTO NACIONAL DE CARDIOLOGIA,Ministério da Saúde,10784,2013
INSTITUTO NACIONAL DE CARDIOLOGIA,Ministério da Saúde,5203,2014
HOSPITAL FEDERAL DOS SERVIDORES DO ESTADO,Ministério da Saúde,2810,2011
HOSPITAL FEDERAL DOS SERVIDORES DO ESTADO,Ministério da Saúde,560,2012
HOSPITAL FEDERAL DOS SERVIDORES DO ESTADO,Ministério da Saúde,7167,2013
HOSPITAL FEDERAL DOS SERVIDORES DO ESTADO,Ministério da Saúde,301,2014
HOSPITAL FEDERAL DE IPANEMA,Ministério da Saúde,428,2011
HOSPITAL FEDERAL DE IPANEMA,Ministério da Saúde,301,2012
HOSPITAL FEDERAL DE IPANEMA,Ministério da Saúde,358,2013
HOSPITAL FEDERAL CARDOSO FONTES,Ministério da Saúde,3607,2011
HOSPITAL FEDERAL CARDOSO FONTES,Ministério da Saúde,5813,2012
HOSPITAL FEDERAL CARDOSO FONTES,Ministério da Saúde,5547,2013
HOSPITAL FEDERAL DA LAGOA,Ministério da Saúde,7259,2011
HOSPITAL FEDERAL DA LAGOA,Ministério da Saúde,22063,2012
HOSPITAL FEDERAL DA LAGOA,Ministério da Saúde,23649,2013
HOSPITAL FEDERAL DO ANDARAI,Ministério da Saúde,10928,2011
HOSPITAL FEDERAL DO ANDARAI,Ministério da Saúde,9940,2012
HOSPITAL FEDERAL DO ANDARAI,Ministério da Saúde,6539,2013
HOSPITAL FEDERAL DO ANDARAI,Ministério da Saúde,744,2014
HOSPITAL MILITAR DE AREA DE BRASILIA,Ministério da Defesa,62,2015
HOSPITAL CENTRAL DO EXERCITO,Ministério da Defesa,449,2011
HOSPITAL CENTRAL DO EXERCITO,Ministério da Defesa,1294,2012
POLICLINICA NAVAL NOSSA SENHORA DA GLORIA,Ministério da Defesa,487,2013
HOSPITAL NAVAL MARCILIO DIAS,Ministério da Defesa,3294,2011
HOSPITAL NAVAL MARCILIO DIAS,Ministério da Defesa,9073,2012
HOSPITAL NAVAL MARCILIO DIAS,Ministério da Defesa,5102,2013
HOSPITAL NAVAL MARCILIO DIAS,Ministério da Defesa,1108,2014
CENTRO DE OBTENCAO DA MARINHA NO R.J.,Ministério da Defesa,163014,2012
CENTRO DE OBTENCAO DA MARINHA NO R.J.,Ministério da Defesa,10067,2013
CENTRO DE OBTENCAO DA MARINHA NO R.J.,Ministério da Defesa,60682,2014
HOSPITAL GERAL DE CURITIBA,Ministério da Defesa,1458,2013
DIRETORIA DE SAUDE DA MARINHA,Ministério da Defesa,131334,2011
DIRETORIA DE SAUDE DA MARINHA,Ministério da Defesa,40194,2012
HOSPITAL NAVAL MARCILIO DIAS,Ministério da Defesa,6543,2012
HOSPITAL NAVAL MARCILIO DIAS,Ministério da Defesa,23024,2013
HOSPITAL NAVAL MARCILIO DIAS,Ministério da Defesa,75,2014
CENTRO DE OBTENCAO DA MARINHA NO R.J.,Ministério da Defesa,440084,2012
CENTRO DE OBTENCAO DA MARINHA NO R.J.,Ministério da Defesa,251890,2013
CENTRO DE OBTENCAO DA MARINHA NO R.J.,Ministério da Defesa,62737,2014
CENTRO DE OBTENCAO DA MARINHA NO R.J.,Ministério da Defesa,157923,2015
HOSPITAL MILITAR DE AREA DE BRASILIA,Ministério da Defesa,2002,2013
HOSPITAL MILITAR DE AREA DE BRASILIA,Ministério da Defesa,135,2014
CENTRO DE RECUPERACAO DE ITATIAIA,Ministério da Defesa,793,2011
HOSPITAL CENTRAL DO EXERCITO,Ministério da Defesa,3276,2011
UNIDADE INTEGRADA DE SAUDE MENTAL,Ministério da Defesa,6914,2011
UNIDADE INTEGRADA DE SAUDE MENTAL,Ministério da Defesa,16045,2012
UNIDADE INTEGRADA DE SAUDE MENTAL,Ministério da Defesa,3460,2013
HOSPITAL NAVAL DE NATAL,Ministério da Defesa,2770,2011
INST.NACIONAL DE INFECTOLOGIA EVANDRO CHAGAS,Ministério da Saúde,17511,2014
